fold,scenario,method,seed,best_epoch,trained_epochs,n_test,mae,rmse,median_ae,r2,spearman
1,affine_bvse,affine_em_bvse,17,0,0,307,0.35882091107233055,0.521264965061568,0.24206238218641274,0.5823422611178164,0.5935949150166433
1,affine_bvse,affine_em_bvse,29,0,0,307,0.35882091107233055,0.521264965061568,0.24206238218641274,0.5823422611178164,0.5935949150166433
1,bvse_calibrated_delta,positional,7,38,58,307,0.2926489521206299,0.43802549037332456,0.20138657093048096,0.7050813566664627,0.7423168260493419
1,bvse_calibrated_delta,positional,17,15,35,307,0.287919799909481,0.4473469350679393,0.18593454360961914,0.6923957080504795,0.7522057683008057
1,bvse_calibrated_delta,positional,29,44,64,307,0.2762700857758425,0.433464261754231,0.16455549001693726,0.7111914463331671,0.7822106041113515
1,dft_path,crystal,7,18,38,307,0.5482130694940249,0.8211933424259329,0.35269516706466675,-0.03655964744018436,0.21724240077544787
1,dft_path,crystal,17,4,24,307,0.5644656225298729,0.8465116812766014,0.3696972727775574,-0.10146162104064449,0.11762479728513489
1,dft_path,crystal,29,2,22,307,0.5438043321467669,0.8175999142778443,0.3332974910736084,-0.027507813206987697,0.15827311276139408
1,dft_path,midpoint,7,18,38,307,0.32985455425704924,0.5082400926102352,0.1885109543800354,0.6029535646037988,0.7447621038347231
1,dft_path,midpoint,17,18,38,307,0.36020368878223025,0.5683627273583569,0.1915278434753418,0.5034595452437167,0.7474097723187588
1,dft_path,midpoint,29,14,34,307,0.3360558425164281,0.5225225207760952,0.20473462343215942,0.5803246270059019,0.742935195991337
1,dft_path,positional,7,23,43,307,0.31881845266185094,0.5018639244930985,0.19713544845581055,0.6128534306000081,0.7574762211665834
1,dft_path,positional,17,13,33,307,0.3230978856439602,0.47264099347660904,0.2203792929649353,0.6566269299537759,0.7084375355116876
1,dft_path,positional,29,43,63,307,0.291492720701844,0.4568361834271799,0.1788536012172699,0.6792073215488676,0.7808851109291807
1,dft_path,trajectory,7,47,67,307,0.3826620297912957,0.5788213228896725,0.22226543724536896,0.485017464193658,0.6217790640093764
1,dft_path,trajectory,17,32,52,307,0.39311459167262824,0.5838583222374366,0.22954446077346802,0.47601553852648315,0.5616088899284915
1,dft_path,trajectory,29,17,37,307,0.3499206317837444,0.5331465022983933,0.2064395248889923,0.5630853700424383,0.6475519434898627
2,affine_bvse,affine_em_bvse,7,0,0,324,0.3060960404578739,0.44086495516070673,0.21884958673255964,0.6984722422319598,0.6554015506337489
2,affine_bvse,affine_em_bvse,17,0,0,324,0.3060960404578739,0.44086495516070673,0.21884958673255964,0.6984722422319598,0.6554015506337489
2,affine_bvse,affine_em_bvse,29,0,0,324,0.3060960404578739,0.44086495516070673,0.21884958673255964,0.6984722422319598,0.6554015506337489
