outcome,variable,bin,n,variable_mean,mean_improvement,median_improvement,fraction_helped,mean_ci_low,mean_ci_high
delta_bvse,affine_bvse_absolute_error,"(0.199, 0.352]",55,0.27112069840307057,0.11773454880907139,0.14084280133886606,0.8363636363636363,0.08507102595105194,0.1485108374601211
delta_bvse,affine_bvse_absolute_error,"(0.352, 2.192]",55,0.7069152318467173,0.15402730419591787,0.19348983555968602,0.8,0.06915274214327041,0.23345999947899757
delta_bvse,dft_path_length,"(0.257, 3.015]",55,2.604957279237055,0.09527727186968911,0.11491239013316124,0.7272727272727273,0.04761206717860255,0.14334239201458682
delta_bvse,dft_path_length,"(3.015, 3.598]",55,3.3622486628468637,0.06927039353915797,0.0647611020327975,0.7636363636363637,0.03672226642602455,0.10086798524242749
delta_bvse,dft_path_length,"(3.598, 5.085]",55,4.2044371828726534,0.008825514683025495,0.022138391826329484,0.5818181818181818,-0.027302785676195374,0.04781033873437137
delta_bvse,dft_path_length,"(5.085, 18.028]",55,6.042377754231097,0.05072017058654602,0.04482152148163232,0.6727272727272727,-0.036569010817690345,0.13577395260459355
delta_bvse,dft_tortuosity,"(0.9999999999999999, 1.026]",55,1.0127183597437792,0.07380400230666705,0.0600930822677791,0.7272727272727273,0.029913189494651146,0.11764338626824287
delta_bvse,dft_tortuosity,"(1.026, 1.054]",55,1.038691533497255,0.08985455410616534,0.06652087523066774,0.7454545454545455,0.042374903574895845,0.13986488593640356
delta_bvse,dft_tortuosity,"(1.054, 1.102]",55,1.077586958733327,0.022187950344908544,0.031214390871705966,0.5636363636363636,-0.027267027279149567,0.07014883690967103
delta_bvse,dft_tortuosity,"(1.102, 9.998]",55,1.3783638758117374,0.03824684392067762,0.07550538498342396,0.7090909090909091,-0.0356238763188561,0.11390527252196189
delta_bvse,dft_bottleneck_mean_k_distance,"(1.8350000000000002, 1.97]",55,1.922627994301495,0.05638725135933578,0.02974630132684508,0.6181818181818182,-0.01784435312950731,0.1329346505151555
delta_bvse,dft_bottleneck_mean_k_distance,"(1.97, 2.014]",55,1.9934621231930312,0.03434417874902316,0.036609158791454766,0.7090909090909091,-0.005470677838179051,0.07206238989247049
delta_bvse,dft_bottleneck_mean_k_distance,"(2.014, 2.069]",55,2.0417767632002564,0.056713049807661425,0.0647611020327975,0.6727272727272727,-0.0010039273497672314,0.10963302265042796
delta_bvse,dft_bottleneck_mean_k_distance,"(2.069, 2.539]",55,2.1667839464496383,0.07664887076239818,0.08620546597561007,0.7454545454545455,0.03670913956583705,0.11591475389065087
delta_bvse,dft_coordination_range,"(-0.001, 2.0]",91,1.6373626373626373,0.09604347727520629,0.08330075985660401,0.7142857142857143,0.060702648350173014,0.13456578930910973
delta_bvse,dft_coordination_range,"(2.0, 3.0]",37,3.0,0.05115138528624034,0.05722774818016996,0.6216216216216216,-0.0026019496621418146,0.10702586105155754
delta_bvse,dft_coordination_range,"(3.0, 5.0]",54,4.481481481481482,0.0044877148242564,0.030480346099275524,0.6666666666666666,-0.06200595683116983,0.06608903657602062
delta_bvse,dft_coordination_range,"(5.0, 11.0]",38,7.394736842105263,0.03816421050443446,0.034930624611312744,0.7105263157894737,-0.036785592892941865,0.1124715175694304
delta_bvse,bvse_path_length,"(2.113, 3.404]",55,3.1023481387482104,0.08446609457440489,0.09492371005650962,0.7090909090909091,0.037360382671742014,0.13180590403162895
delta_bvse,bvse_path_length,"(3.404, 3.921]",55,3.61298846461734,0.06435608395236035,0.05330409551965343,0.7454545454545455,0.0309170359003353,0.09682098829158048
delta_bvse,bvse_path_length,"(3.921, 5.291]",55,4.472267847663513,0.03196437169715134,0.05722774818016996,0.6363636363636364,-0.005410557379763107,0.06954799901383969
delta_bvse,bvse_path_length,"(5.291, 17.94]",55,6.250125751367839,0.043306800454502,0.03344094841870393,0.6545454545454545,-0.04480016009982105,0.12727288050430305
delta_bvse,bvse_tortuosity,"(0.999, 1.068]",55,1.0333729487876793,0.10708285583201083,0.0607957250271155,0.7818181818181819,0.05571867491298619,0.16188767723444702
delta_bvse,bvse_tortuosity,"(1.068, 1.111]",55,1.0901751158163113,0.010169366404045688,0.0351629115048393,0.5818181818181818,-0.04292814395790841,0.05652269152464419
delta_bvse,bvse_tortuosity,"(1.111, 1.176]",55,1.1370265493120388,0.06791324600125839,0.06838431675081869,0.6909090909090909,0.006771355922616189,0.13587671701099224
delta_bvse,bvse_tortuosity,"(1.176, 1.981]",55,1.2667651562503515,0.038927882441103685,0.07066945994198248,0.6909090909090909,-0.011598341789725476,0.08319293773542069
delta_bvse,bvse_bottleneck_mean_k_distance,"(1.379, 1.845]",55,1.694512140197636,0.09639410682425552,0.08617067811769441,0.7090909090909091,0.01500947516764449,0.17537379348634155
delta_bvse,bvse_bottleneck_mean_k_distance,"(1.845, 1.932]",55,1.8917787706706675,0.040193872877957795,0.04855260153765317,0.6545454545454545,-0.02112260048538697,0.09674582565142124
delta_bvse,bvse_bottleneck_mean_k_distance,"(1.932, 2.007]",55,1.9678837576437196,0.05208786024804444,0.048364169433779414,0.7272727272727273,0.022276768897662006,0.0820199481405766
delta_bvse,bvse_bottleneck_mean_k_distance,"(2.007, 2.434]",55,2.1092488866484946,0.03541751072816082,0.0600930822677791,0.6545454545454545,-0.0015785907772402866,0.07174981644735871
delta_bvse,bvse_coordination_range,"(-0.001, 3.0]",100,2.29,0.10301849953089474,0.08618807204665224,0.71,0.06662040378859803,0.14234576505890362
delta_bvse,bvse_coordination_range,"(3.0, 4.0]",32,4.0,-0.011666801954588952,0.04158249381848789,0.59375,-0.0777408968722246,0.04633214469931245
delta_bvse,bvse_coordination_range,"(4.0, 6.0]",42,5.4523809523809526,-0.004810320832286256,0.030678137633594893,0.6904761904761905,-0.07353533152686102,0.05577298109641583
delta_bvse,bvse_coordination_range,"(6.0, 11.0]",46,9.456521739130435,0.05649251025492211,0.04904765969179253,0.6956521739130435,-0.01167636014571815,0.12502016230105212
