outcome,feature_set,task,repeat,fold,feature,score_drop
delta_pos,published_litraj,regression,7,1,litraj_max_weighted_mean_oxidation,-0.09220577614955694
delta_pos,published_litraj,regression,7,1,litraj_max_volume,-0.0895922728510068
delta_pos,published_litraj,regression,7,1,litraj_min_mean_covalent_radius,-0.055199873082558915
delta_pos,published_litraj,regression,7,2,litraj_min_volume,0.2528170775467311
delta_pos,published_litraj,regression,7,2,litraj_edge_length,0.01574723817924495
delta_pos,published_litraj,regression,7,2,litraj_max_weighted_mean_oxidation,-0.01737121651695639
delta_pos,published_litraj,regression,7,2,litraj_max_volume,-0.0616607768481211
delta_pos,published_litraj,regression,7,2,litraj_min_mean_covalent_radius,-0.014039487536576689
delta_pos,published_litraj,regression,7,3,litraj_min_volume,0.03942868251274412
delta_pos,published_litraj,regression,7,3,litraj_edge_length,-0.0868630017470351
delta_pos,published_litraj,regression,7,3,litraj_max_weighted_mean_oxidation,-0.143682465045337
delta_pos,published_litraj,regression,7,3,litraj_max_volume,-0.23841467141792205
delta_pos,published_litraj,regression,7,3,litraj_min_mean_covalent_radius,-0.03474702983650091
delta_pos,published_litraj,regression,7,4,litraj_min_volume,-0.12704959256352666
delta_pos,published_litraj,regression,7,4,litraj_edge_length,-0.011569126718145473
delta_pos,published_litraj,regression,7,4,litraj_max_weighted_mean_oxidation,0.014692878927709652
delta_pos,published_litraj,regression,7,4,litraj_max_volume,-0.009562753196362683
delta_pos,published_litraj,regression,7,4,litraj_min_mean_covalent_radius,-0.06670502505800346
delta_pos,published_litraj,regression,8,0,litraj_min_volume,0.1406934841064733
delta_pos,published_litraj,regression,8,0,litraj_edge_length,-0.06445564268829096
delta_pos,published_litraj,regression,8,0,litraj_max_weighted_mean_oxidation,-0.03075050034001192
delta_pos,published_litraj,regression,8,0,litraj_max_volume,0.02401934320907584
delta_pos,published_litraj,regression,8,0,litraj_min_mean_covalent_radius,-0.038139911656226655
delta_pos,published_litraj,regression,8,1,litraj_min_volume,-0.035563499110024877
delta_pos,published_litraj,regression,8,1,litraj_edge_length,-0.08207767585063142
delta_pos,published_litraj,regression,8,1,litraj_max_weighted_mean_oxidation,0.007129026490707346
delta_pos,published_litraj,regression,8,1,litraj_max_volume,-0.002521384865079801
delta_pos,published_litraj,regression,8,1,litraj_min_mean_covalent_radius,-0.061351060569989624
delta_pos,published_litraj,regression,8,2,litraj_min_volume,-0.5068236344097219
delta_pos,published_litraj,regression,8,2,litraj_edge_length,-0.0823179797237159
delta_pos,published_litraj,regression,8,2,litraj_max_weighted_mean_oxidation,0.0038342157563322488
delta_pos,published_litraj,regression,8,2,litraj_max_volume,-0.07872505320043444
delta_pos,published_litraj,regression,8,2,litraj_min_mean_covalent_radius,0.02591701028800175
delta_pos,published_litraj,regression,8,3,litraj_min_volume,0.15689114895537437
delta_pos,published_litraj,regression,8,3,litraj_edge_length,0.042706704872127466
delta_pos,published_litraj,regression,8,3,litraj_max_weighted_mean_oxidation,-0.12907264208516822
delta_pos,published_litraj,regression,8,3,litraj_max_volume,-0.09663958466077793
delta_pos,published_litraj,regression,8,3,litraj_min_mean_covalent_radius,-0.037274875284571074
delta_pos,published_litraj,regression,8,4,litraj_min_volume,0.07117607305630869
delta_pos,published_litraj,regression,8,4,litraj_edge_length,0.01882126356795577
delta_pos,published_litraj,regression,8,4,litraj_max_weighted_mean_oxidation,0.025170183434183646
delta_pos,published_litraj,regression,8,4,litraj_max_volume,-0.012992602485595084
delta_pos,published_litraj,regression,8,4,litraj_min_mean_covalent_radius,-0.011373322542001074
delta_pos,published_litraj,regression,9,0,litraj_min_volume,0.07162384388624243
delta_pos,published_litraj,regression,9,0,litraj_edge_length,-0.0693968142685859
delta_pos,published_litraj,regression,9,0,litraj_max_weighted_mean_oxidation,0.09210912888695799
delta_pos,published_litraj,regression,9,0,litraj_max_volume,0.025871935468466445
delta_pos,published_litraj,regression,9,0,litraj_min_mean_covalent_radius,-0.07130512780330389
delta_pos,published_litraj,regression,9,1,litraj_min_volume,-0.3327928092684038
delta_pos,published_litraj,regression,9,1,litraj_edge_length,-0.3928400010429616
delta_pos,published_litraj,regression,9,1,litraj_max_weighted_mean_oxidation,-0.0018119588188600932
delta_pos,published_litraj,regression,9,1,litraj_max_volume,-0.03302757735088879
delta_pos,published_litraj,regression,9,1,litraj_min_mean_covalent_radius,0.05176349268212421
delta_pos,published_litraj,regression,9,2,litraj_min_volume,0.02701796595481043
delta_pos,published_litraj,regression,9,2,litraj_edge_length,0.0213819067662806
delta_pos,published_litraj,regression,9,2,litraj_max_weighted_mean_oxidation,-0.06982740672525956
delta_pos,published_litraj,regression,9,2,litraj_max_volume,-0.012995444549640744
delta_pos,published_litraj,regression,9,2,litraj_min_mean_covalent_radius,0.01099902060934177
delta_pos,published_litraj,regression,9,3,litraj_min_volume,-0.2329596291708078
delta_pos,published_litraj,regression,9,3,litraj_edge_length,-0.13669768939068927
delta_pos,published_litraj,regression,9,3,litraj_max_weighted_mean_oxidation,0.023338734024184626
delta_pos,published_litraj,regression,9,3,litraj_max_volume,-0.029436062129774454
delta_pos,published_litraj,regression,9,3,litraj_min_mean_covalent_radius,-0.01709442319411525
delta_pos,published_litraj,regression,9,4,litraj_min_volume,0.10147601538700413
delta_pos,published_litraj,regression,9,4,litraj_edge_length,-0.0029954341945335194
delta_pos,published_litraj,regression,9,4,litraj_max_weighted_mean_oxidation,-0.08147790233583674
