outcome,feature_set,task,model,repeat,r2,mae,spearman,roc_auc,balanced_accuracy
delta_pos,simple_geometry,regression,ridge,4,-0.09596934067292562,0.1890580605619613,-0.133323566039118,,
delta_pos,simple_geometry,regression,random_forest,5,-0.04888069686054375,0.18500847030071316,-0.0023390857223449892,,
delta_pos,simple_geometry,regression,ridge,5,-1.5609082794441562,0.20787065071979505,-0.05115545212241424,,
delta_pos,simple_geometry,regression,random_forest,6,-0.12810322477754732,0.19179859182299472,-0.045847393803799416,,
delta_pos,simple_geometry,regression,ridge,6,-1.611524499259223,0.2188910480963637,-0.24195578796706918,,
delta_pos,simple_geometry,regression,random_forest,7,-0.13601556036498597,0.19329241187267276,-0.08555372888121628,,
delta_pos,simple_geometry,regression,ridge,7,-0.28967064275588283,0.19505486264874336,-0.08509379419935423,,
delta_pos,simple_geometry,regression,random_forest,8,-0.01753786806340729,0.18245838006382908,0.09190940298479656,,
delta_pos,simple_geometry,regression,ridge,8,-0.044245614057748295,0.1803276442786774,-0.04092571409251505,,
delta_pos,simple_geometry,regression,random_forest,9,-0.09127080638244056,0.1871317316636611,-0.0033663421570745275,,
delta_pos,simple_geometry,regression,ridge,9,-0.1305801831324216,0.1904169768023585,-0.13725114530916302,,
delta_pos,simple_geometry,classification,logistic,0,,,,0.38068896152879056,0.4336183052552175
delta_pos,simple_geometry,classification,random_forest,0,,,,0.3853826167127651,0.40478585198223116
delta_pos,simple_geometry,classification,logistic,1,,,,0.39225546894644203,0.4189506328052971
delta_pos,simple_geometry,classification,random_forest,1,,,,0.42377001089598526,0.4343307350599279
delta_pos,simple_geometry,classification,logistic,2,,,,0.4054982817869416,0.4311457547565166
delta_pos,simple_geometry,classification,random_forest,2,,,,0.4396110971418992,0.44137121783588973
delta_pos,simple_geometry,classification,logistic,3,,,,0.3990445059089766,0.4637498952309111
delta_pos,simple_geometry,classification,random_forest,3,,,,0.43743190009219685,0.45385969323610764
delta_pos,simple_geometry,classification,logistic,4,,,,0.43005615623166543,0.4414550331070321
delta_pos,simple_geometry,classification,random_forest,4,,,,0.4404492498533233,0.45385969323610764
delta_pos,simple_geometry,classification,logistic,5,,,,0.40843181627692565,0.4569189506328053
delta_pos,simple_geometry,classification,random_forest,5,,,,0.3915849467773029,0.3863464923309027
delta_pos,simple_geometry,classification,logistic,6,,,,0.4757354790042746,0.48705054060849884
delta_pos,simple_geometry,classification,random_forest,6,,,,0.4027323778392423,0.4224289665577068
delta_pos,simple_geometry,classification,logistic,7,,,,0.42913418824909894,0.45930768586036375
delta_pos,simple_geometry,classification,random_forest,7,,,,0.3771687201408096,0.39229737658201325
delta_pos,simple_geometry,classification,logistic,8,,,,0.4302237867739503,0.445813427206437
delta_pos,simple_geometry,classification,random_forest,8,,,,0.4259492079456877,0.43215153801022543
delta_pos,simple_geometry,classification,logistic,9,,,,0.4796747967479674,0.49379766993546226
delta_pos,simple_geometry,classification,random_forest,9,,,,0.43508507250020956,0.46198977453692064
delta_pos,trajectory_profiles,regression,random_forest,0,-0.12092902221475588,0.18668236657975884,-0.191811976422176,,
delta_pos,trajectory_profiles,regression,ridge,0,-0.15854023765552894,0.2076314478203805,-0.007518186889661507,,
delta_pos,trajectory_profiles,regression,random_forest,1,-0.03599571688110226,0.1835936296319051,-0.11478342797285085,,
delta_pos,trajectory_profiles,regression,ridge,1,-0.13431252919323255,0.21327251682206477,-0.027293576689225357,,
delta_pos,trajectory_profiles,regression,random_forest,2,-0.055906163562649214,0.17905303572968675,-0.06548861762093286,,
delta_pos,trajectory_profiles,regression,ridge,2,-0.11117243628833662,0.2123152535535442,0.03670511599601044,,
delta_pos,trajectory_profiles,regression,random_forest,3,-0.055396915424686055,0.18710638879087005,-0.08939054004827302,,
delta_pos,trajectory_profiles,regression,ridge,3,-0.1815760522260097,0.2178300428314977,0.007652299352541092,,
delta_pos,trajectory_profiles,regression,random_forest,4,-0.06234564523393349,0.185610907507135,-0.12372223256871982,,
delta_pos,trajectory_profiles,regression,ridge,4,-0.13734492164721912,0.21184928823788174,0.04116576413111465,,
delta_pos,trajectory_profiles,regression,random_forest,5,-0.07048172647280881,0.184430076397469,-0.07369878436564531,,
delta_pos,trajectory_profiles,regression,ridge,5,-0.254695754340754,0.2172316024964259,-0.03712886629889047,,
delta_pos,trajectory_profiles,regression,random_forest,6,-0.1449310110742077,0.18841780645658018,-0.269611921593827,,
delta_pos,trajectory_profiles,regression,ridge,6,-0.20935578287793533,0.21508240970448636,-0.06654232149800239,,
delta_pos,trajectory_profiles,regression,random_forest,7,-0.06559932397052926,0.18917642040474983,-0.18867554533251302,,
delta_pos,trajectory_profiles,regression,ridge,7,-0.09077988465132925,0.21114075888605327,-0.003351684576503271,,
delta_pos,trajectory_profiles,regression,random_forest,8,0.015568904252558302,0.17735007736146755,-0.005836151059223775,,
delta_pos,trajectory_profiles,regression,ridge,8,-0.0838631507235783,0.20794138482243832,0.012008136907411687,,
delta_pos,trajectory_profiles,regression,random_forest,9,-0.051261507912944815,0.1838789231719268,-0.09454483162397698,,
delta_pos,trajectory_profiles,regression,ridge,9,-0.14007375819644885,0.21120955286152346,0.02518046015225709,,
delta_pos,trajectory_profiles,classification,logistic,0,,,,0.36929008465342383,0.4061688039560808
delta_pos,trajectory_profiles,classification,random_forest,0,,,,0.4044086832620904,0.4346240885089263
delta_pos,trajectory_profiles,classification,logistic,1,,,,0.38865141228731875,0.43521079540692315
delta_pos,trajectory_profiles,classification,random_forest,1,,,,0.4257815774034029,0.4712094543625849
