outcome,feature_set,task,model,permutation,score
delta_pos,published_litraj,regression,random_forest,212,-0.046958485335111225
delta_pos,published_litraj,regression,ridge,212,-0.0604984128219165
delta_pos,published_litraj,regression,random_forest,213,-0.08390146346696734
delta_pos,published_litraj,regression,ridge,213,-0.0662942403795562
delta_pos,published_litraj,regression,random_forest,214,-0.03590355684201476
delta_pos,published_litraj,regression,ridge,214,-0.03310301411931051
delta_pos,published_litraj,regression,random_forest,215,-0.073294280757
delta_pos,published_litraj,regression,ridge,215,-0.03239434617938262
delta_pos,published_litraj,regression,random_forest,216,-0.04673729914854272
delta_pos,published_litraj,regression,ridge,216,-0.0583183163324698
delta_pos,published_litraj,regression,random_forest,217,-0.027650385841868474
delta_pos,published_litraj,regression,ridge,217,-0.04888197823783005
delta_pos,published_litraj,regression,random_forest,218,-0.04593535662092241
delta_pos,published_litraj,regression,ridge,218,-0.009932757976710126
delta_pos,published_litraj,regression,random_forest,219,-0.015553521170729978
delta_pos,published_litraj,regression,ridge,219,-0.045225140939839335
delta_pos,published_litraj,regression,random_forest,220,-0.09118742377154805
