outcome,repeat,n_hops,seeds_a,seeds_b,pearson,spearman
bvse_delta_benefit,20,220,23;35;41;201;803,59;71;87;93;155,0.9031304372709029,0.8667136248119326
bvse_delta_benefit,21,220,23;35;59;71;87,41;93;155;201;803,0.9239463306594244,0.9169156387528667
bvse_delta_benefit,22,220,23;35;59;71;93,41;87;155;201;803,0.945939758701816,0.9325132562844085
bvse_delta_benefit,23,220,23;35;59;71;155,41;87;93;201;803,0.9360708823639313,0.9179051407899111
bvse_delta_benefit,24,220,23;35;59;71;201,41;87;93;155;803,0.9367082596501614,0.9136913046663249
bvse_delta_benefit,25,220,23;35;59;71;803,41;87;93;155;201,0.9407833505507769,0.9330418171675222
bvse_delta_benefit,26,220,23;35;59;87;93,41;71;155;201;803,0.924650120898187,0.907163746809194
bvse_delta_benefit,27,220,23;35;59;87;155,41;71;93;201;803,0.8983553166963825,0.9002890743422572
bvse_delta_benefit,28,220,23;35;59;87;201,41;71;93;155;803,0.8896508177443082,0.8636279111702158
bvse_delta_benefit,29,220,23;35;59;87;803,41;71;93;155;201,0.8853729671147578,0.8817556335686876
bvse_delta_benefit,30,220,23;35;59;93;155,41;71;87;201;803,0.9385322407584614,0.9261524937592625
bvse_delta_benefit,31,220,23;35;59;93;201,41;71;87;155;803,0.9264320384527386,0.9224570755594124
bvse_delta_benefit,32,220,23;35;59;93;803,41;71;87;155;201,0.9245965141955597,0.9043113212331585
bvse_delta_benefit,33,220,23;35;59;155;201,41;71;87;93;803,0.9184992975287976,0.9194806804798746
bvse_delta_benefit,34,220,23;35;59;155;803,41;71;87;93;201,0.9232335880885123,0.9192800752832985
bvse_delta_benefit,35,220,23;35;59;201;803,41;71;87;93;155,0.9080128806129063,0.881033229461916
bvse_delta_benefit,36,220,23;35;71;87;93,41;59;155;201;803,0.9316586396608384,0.9233011951787133
bvse_delta_benefit,37,220,23;35;71;87;155,41;59;93;201;803,0.907574353851915,0.8956650118616275
bvse_delta_benefit,38,220,23;35;71;87;201,41;59;93;155;803,0.9161839140344354,0.8890134845009945
bvse_delta_benefit,39,220,23;35;71;87;803,41;59;93;155;201,0.8955147473030082,0.9113167251765156
bvse_delta_benefit,40,220,23;35;71;93;155,41;59;87;201;803,0.9328766389518747,0.8988003133047452
bvse_delta_benefit,41,220,23;35;71;93;201,41;59;87;155;803,0.9386447208369757,0.9279117337135064
bvse_delta_benefit,42,220,23;35;71;93;803,41;59;87;155;201,0.9201299482089902,0.9123715929517702
bvse_delta_benefit,43,220,23;35;71;155;201,41;59;87;93;803,0.9331019693092794,0.9077678163898953
bvse_delta_benefit,44,220,23;35;71;155;803,41;59;87;93;201,0.9212542246109257,0.9119286837256216
bvse_delta_benefit,45,220,23;35;71;201;803,41;59;87;93;155,0.9235878649380361,0.9027504324845179
bvse_delta_benefit,46,220,23;35;87;93;155,41;59;71;201;803,0.9243010728724762,0.9074173207936301
bvse_delta_benefit,47,220,23;35;87;93;201,41;59;71;155;803,0.9203900008841787,0.8992364605579755
